,dist_kilometers,vendor_code
77890,2.222,97
12830,5.743,58
46635,2.412,79
23713,2.774,64
32253,0.044,39
55989,9.746,71
14551,6.154,97
14830,3.575,97
38859,8.176,0
20892,4.473,0
72436,2.747,71
36979,5.74,97
28359,2.912,97
51834,3.882,97
71966,3.69,97
44700,4.86,97
62884,1.749,81
88548,5.498,21
88739,3.651,64
61672,13.977,71
32312,14.903,0
55612,7.518,97
60548,15.591,71
13445,1.075,97
70217,2.954,97
57073,5.554,97
24798,10.34,0
44196,3.913,71
4449,0.445,80
66095,2.384,38
10780,7.752,0
44923,4.515,80
88599,7.899,39
64455,13.984,0
74005,4.84,97
9242,7.394,97
22935,1.894,81
1052,2.401,115
74403,3.7,0
50574,4.124,97
81412,3.339,71
17058,5.166,71
32741,4.959,0
59086,4.269,97
38571,6.025,0
23808,0.4,10
28071,3.862,71
1376,4.073,0
81900,12.488,0
58622,7.325,97
34867,2.046,71
88884,0.1,97
8261,10.877,0
83621,12.51,71
34993,9.998,43
54170,13.802,81
45689,7.216,97
88873,8.225,97
78129,5.737,80
48330,4.015,81
59139,2.634,97
23356,0.932,97
69495,9.194,0
8078,13.503,22
28993,3.08,80
81392,2.348,97
80870,6.478,97
56904,2.957,2
72021,1.519,81
5527,5.272,97
7038,7.245,71
74331,6.792,79
32038,5.16,97
58926,15.256,97
47193,7.836,97
35255,5.453,64
67132,0.022,0
6303,4.687,97
41370,2.061,97
38842,11.335,0
8883,11.869,71
64449,3.724,97
77055,2.12,81
45031,5.515,71
7779,10.294,97
52933,7.535,0
86601,8.112,0
43860,14.134,89
16323,5.376,71
30293,4.12,22
41004,5.327,80
10077,0.145,71
59554,3.308,97
90201,1.028,97
1896,1.937,99
54990,1.678,97
51198,0.051,30
85484,2.993,97
58525,5.52,80
39165,6.914,97
6779,4.931,86
42238,1.775,80
46311,5.429,92
60800,3.642,97
7987,0.569,80
48958,14.007,97
11466,10.457,0
33295,16.182,71
19657,7.384,126
66654,4.512,97
6052,0.037,97
4550,1.029,75
79390,2.738,80
71644,0.023,10
4918,4.177,66
52045,1.395,64
8434,3.155,31
87461,0.812,64
64055,4.886,10
48407,0.029,80
4841,12.178,0
45433,7.889,97
63270,2.309,97
44743,6.135,97
2631,3.459,97
15194,1.017,97
53949,2.376,97
36129,10.733,71
44759,3.284,80
66569,10.659,97
70481,0.031,48
3552,2.372,71
32570,2.175,0
13008,0.831,83
21108,1.93,120
49917,4.218,97
28522,2.271,97
78713,3.049,97
72633,7.943,0
28286,4.336,58
25370,2.868,97
66854,3.471,80
64719,0.046,38
19733,4.281,0
74137,6.559,71
59994,2.063,97
83597,3.136,58
61963,3.397,0
15485,1.096,80
32157,5.26,80
58876,14.045,97
14653,6.251,92
80519,3.437,97
20287,0.542,97
88225,2.749,99
74452,1.931,97
42196,3.593,66
75913,2.788,71
74985,13.533,97
30166,1.097,108
32172,3.58,97
48971,6.551,97
63467,9.649,97
57312,10.472,71
64310,3.417,66
30182,2.083,97
30924,8.609,64
57403,10.194,0
80194,1.477,64
41609,4.15,80
75699,3.31,97
14697,8.633,71
75081,6.194,30
16557,0.866,81
71621,1.461,80
33866,10.419,75
66965,0.497,117
9772,3.232,97
32187,0.043,80
66437,4.109,80
81618,8.276,80
61255,8.863,0
86135,3.736,97
10536,12.522,39
23441,14.574,127
55093,3.166,47
16340,17.921,71
57842,10.048,0
28447,5.187,97
68396,3.507,80
87323,0.107,87
89947,4.795,66
23879,5.508,97
83746,4.169,66
30923,7.652,81
67552,3.611,97
17115,3.18,97
66198,0.209,80
1059,5.024,97
29265,3.18,80
82608,13.892,66
88613,17.592,21
86546,3.482,97
43728,16.13,97
63652,8.253,97
28904,3.574,71
10337,1.331,97
45666,8.949,92
10172,7.16,97
41681,0.096,97
74938,1.729,97
47497,2.294,0
28034,8.177,71
67807,4.269,97
75421,7.065,10
14288,3.159,97
34431,8.25,80
48686,2.68,66
28567,3.703,80
53518,4.09,79
50453,7.476,97
7614,16.833,97
9015,0.877,80
84218,16.292,71
22556,9.941,97
33949,1.169,97
32832,2.357,66
85299,8.708,97
30393,3.884,97
6738,2.584,30
77325,8.148,80
76158,9.704,71
89908,0.906,21
84425,0.607,64
27819,18.581,71
59517,3.035,97
27287,2.656,97
22386,12.269,71
83468,7.051,97
2878,5.152,105
44550,2.932,64
78117,6.302,81
33915,7.037,86
67485,5.686,52
64753,2.002,97
72069,1.368,97
35611,0.374,71
77382,8.062,97
39131,0.084,97
58192,0.023,66
72433,4.907,97
47166,12.812,0
84239,0.059,79
66347,1.295,1
43213,2.648,97
62433,4.277,97
46864,10.013,71
63185,6.179,39
46640,4.322,97
20079,1.409,97
3275,3.973,0
64876,12.225,97
33746,1.61,97
46391,0.033,97
41887,2.037,0
78366,4.893,14
82167,4.162,0
49013,4.749,97
25162,2.888,80
78059,2.219,80
317,6.23,97
3276,1.978,0
1742,0.027,66
66820,3.113,80
35772,2.801,71
87570,7.73,97
76079,4.34,3
70053,2.419,97
29398,7.052,80
88397,5.57,80
70519,4.389,97
38440,6.259,97
68599,5.295,97
6174,0.024,97
77434,4.446,97
32353,2.884,80
26651,2.044,97
87147,5.224,17
37484,8.591,88
43401,0.085,108
85659,3.186,97
12739,3.309,64
80450,3.479,80
47845,1.789,97
36823,4.424,97
5928,2.213,0
6297,3.889,71
17890,0.403,97
7904,4.269,64
60099,5.571,71
28568,2.374,97
10161,6.015,10
68976,2.137,97
61890,4.334,71
39293,2.888,64
67307,2.487,97
72907,15.416,71
18426,3.619,81
81510,2.675,97
88935,0.612,97
12592,2.904,97
31017,1.061,97
19827,4.343,0
86268,2.382,80
51969,1.7,97
33043,0.346,38
67651,4.336,97
53621,6.205,64
85045,3.881,97
72621,5.019,97
6565,4.883,3
1843,3.191,66
33259,0.157,97
87125,6.003,97
26799,1.416,97
79895,1.899,0
7751,13.487,0
53997,4.71,80
60496,3.729,0
50286,5.654,97
31300,12.198,0
42460,6.256,97
57112,14.795,66
49526,0.409,71
34791,5.507,43
74700,4.401,0
